DISTRICT,DIVISION,LOCATION,SUB LOCATION
BARINGO,BARINGO SOUTH,MOCHONGOI,MOCHONGOI
BARINGO,BARINGO SOUTH,KIMALEL,SABOR
BARINGO,BARINGO CENTRAL,KAPROPITA,KAPSOO/BOROWONIN
BARINGO,BARINGO CENTRAL,TENGES,TENGES
BARINGO,BARINGO CENTRAL,KABARNET SOI,KIMOSO
BARINGO,BARINGO SOUTH,MOCHONGOI,KAPKECHIR
BARINGO,BARINGO CENTRAL,OROKWO,KAPCHEPTERIT
BARINGO,BARINGO CENTRAL,EWALEL,SERETUNIN
BARINGO,BARINGO CENTRAL,EWALEL,RIWO
BARINGO,BARINGO CENTRAL,KABARNET MOSOP,SEGUTON
BARINGO,BARINGO SOUTH,KISERIAN,KISERIAN
BARINGO,BARINGO SOUTH,MARIGAT,PERKERRA
BARINGO,BARINGO SOUTH,ILCHAMUS,ELDUME
BARINGO,BARINGO SOUTH,SALABANI,MEISORI
BARINGO,BARINGO CENTRAL,SACHO SOI,KAPKELELWA
BARINGO,BARINGO CENTRAL,OROKWO,MOLOI
BARINGO,BARINGO CENTRAL,KITURO,KITURO
BARINGO,BARINGO SOUTH,MOCHONGOI,KAPNAROK
BARINGO,BARINGO CENTRAL,TALAI,KAPTUMO
BARINGO,BARINGO SOUTH,CHEBINYINY,KASIELA
BARINGO,BARINGO SOUTH,MARIGAT,YATOI
BARINGO,BARINGO CENTRAL,CHEPKERIO,KIBEI
BARINGO,BARINGO SOUTH,SANDAI,SANDAI
BARINGO,BARINGO CENTRAL,KISONEI,EITUI
BARINGO,BARINGO CENTRAL,NGETMOI,CHEBUNYUR
BARINGO,BARINGO CENTRAL,SACHO MOSOP,KAPLEL
BARINGO,BARINGO CENTRAL,SACHO MOSOP,KAPLOTEN
BARINGO,BARINGO CENTRAL,KISONEI,KISONEI
BARINGO,BARINGO SOUTH,KIMONDIS,KIBINGOR
BARINGO,BARINGO SOUTH,TALAI,MOIGUTWO
BARINGO,BARINGO CENTRAL,LELMEN,LELMEN
BARINGO,BARINGO SOUTH,ARABAL,ARABAL
